Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
1/26/2022 3:00,9.946.175.537,-703.125,9.999.694.824,-10.078.125,150.049,0,1.325.722,1.177.117,1.226.686,1.149.629,-703.125,-10.078.125,6.379.643
1/26/2022 4:00,9.943.121.338,-6.796.875,9.999.694.824,-11.328.125,150.049,0,1.325.722,1.177.117,1.226.686,1.149.629,-6.796.875,-11.328.125,6.379.643
1/26/2022 5:00,9.943.165.894,-59.375,9.999.694.824,-90.625,150.049,0,1.325.722,2.354.233,1.226.686,1.149.629,-59.375,-90.625,755.676
1/26/2022 6:00,9.942.789.307,-5.390.625,9.999.694.824,-6.875,150.049,0,1.325.722,1.177.117,1.226.686,1.149.629,-5.390.625,-6.875,6.379.643
1/26/2022 7:00,9.941.236.572,-4.140.625,9.999.694.824,-328.125,16.505.385,14.659.185,7.954.334,7.062.699,6.133.429,10.346.662,-4.140.625,-328.125,62.661.694
1/26/2022 8:00,9.941.644.287,-3.046.875,9.999.694.824,-15.625,4.154.855.728,4.531.317.234,3.363.357.306,314.172.411,2.929.325.581,3.250.001.431,-3.046.875,-15.625,2.137.058.139
1/26/2022 9:00,9.943.570.557,-1.796.875,9.999.694.824,-78.125,932.404.232,1.098.135.853,910.373.497,8.880.167.007,8.407.704.353,8.445.175.171,-1.796.875,-78.125,5.514.218.235
1/26/2022 10:00,9.943.505.249,-1.015.625,9.999.694.824,9.375,1.232.352.066,1.444.255.543,1.324.263.859,126.975.565,1.243.246.078,1.141.696.644,-1.015.625,9.375,765.556.984
1/26/2022 11:00,9.945.245.972,-625,992.401.123,3.125,269.577.961,3.224.043.274,2.683.129.311,2.708.545.113,2.582.173.538,2.600.461.006,-625,3.125,1.649.413.185
1/26/2022 12:00,9.944.500.122,-234.375,9.097.900.391,115.625,2.255.426.331,1.894.166.412,1.502.998.047,1.490.375.519,1.861.790.619,1.713.944.397,-234.375,115.625,1.071.870.133
1/26/2022 13:00,9.942.234.802,859.375,8.870.239.258,135.546.875,2.262.472.153,2.111.937.332,1.654.210.892,1.634.709.244,1.909.418.488,1.854.938.355,859.375,135.546.875,1.142.768.646
1/26/2022 14:00,9.939.969.482,1.953.125,8.642.578.125,15.546.875,2.269.517.975,2.329.708.252,1.805.423.737,1.779.042.969,1.957.046.356,1.995.932.312,1.953.125,15.546.875,121.366.716
1/26/2022 15:00,9.940.577.393,15.625,9.127.197.266,6.015.625,9.608.404.541,1.038.499.222,8.561.455.536,7.925.234.985,762.636.795,7.378.981.781,15.625,6.015.625,5.148.543.701
1/26/2022 16:00,9.942.922.363,-390.625,9.582.519.531,3.125,2.712.885.094,2.913.920.403,2.184.259.987,1.958.368.874,1.773.051.643,1.751.459.885,-390.625,3.125,1.329.394.589
1/26/2022 17:00,9.947.363.892,-78.125,9.999.694.824,125,757.747.233,45.117.715,352.642.089,26.367.411,341.018.617,418.464.989,-78.125,125,2.584.724.188
1/26/2022 18:00,9.951.967.163,-234.375,9.999.694.824,15.625,150.049,1.628.798,2.651.444,353.135,3.680.057,1.149.629,-234.375,15.625,14.141.768
1/26/2022 19:00,9.953.955.688,1.015.625,9.999.694.824,-28.125,150.049,1.628.798,2.651.444,2.354.233,2.453.372,1.149.629,1.015.625,-28.125,11.737.966
1/26/2022 20:00,9.955.061.035,203.125,9.999.694.824,-265.625,150.049,0,1.325.722,2.354.233,2.453.372,1.149.629,203.125,-265.625,8.783.446
1/26/2022 21:00,9.953.504.639,0.25,9.999.694.824,-1.640.625,150.049,0,1.325.722,1.177.117,1.226.686,1.149.629,0.25,-1.640.625,6.379.643
1/26/2022 22:00,9.951.873.169,2.890.625,9.999.694.824,-265.625,0,0,1.325.722,1.177.117,1.226.686,0,2.890.625,-265.625,3.729.525
1/26/2022 23:00,995.076.416,328.125,9.999.694.824,-484.375,0,0,0,0,0,0,328.125,-484.375,0
